SN,MAC1,MAC2,MAC3,MAC4,MAC5,UseableFlag
BB765717C5000112,BC3D85BA6CF8,BC3D85BA6CF9,BC3D85BA6CFA,BC3D85BA6CFB,BC3D85BA6CFC,invalid
BB765617C6000015,BC3D85BA6D6B,BC3D85BA6D6C,BC3D85BA6D6D,BC3D85BA6D6E,BC3D85BA6D6F,invalid
BB765617C6000018,BC3D85BA6D7A,BC3D85BA6D7B,BC3D85BA6D7C,BC3D85BA6D7D,BC3D85BA6D7E,invalid
BB765817C6000060,BC3D85BA6F82,BC3D85BA6F83,BC3D85BA6F84,BC3D85BA6F85,BC3D85BA6F86,invalid
BB765817C6000015,BC3D85BA6EA1,BC3D85BA6EA2,BC3D85BA6EA3,BC3D85BA6EA4,BC3D85BA6EA5,
BB765817C6000022,BC3D85BA6EC4,BC3D85BA6EC5,BC3D85BA6EC6,BC3D85BA6EC7,BC3D85BA6EC8,
BB765817C6000016,BC3D85BA6EA6,BC3D85BA6EA7,BC3D85BA6EA8,BC3D85BA6EA9,BC3D85BA6EAA,
BB765817C6000009,BC3D85BA6E83,BC3D85BA6E84,BC3D85BA6E85,BC3D85BA6E86,BC3D85BA6E87,
BB765817C6000019,BC3D85BA6EB5,BC3D85BA6EB6,BC3D85BA6EB7,BC3D85BA6EB8,BC3D85BA6EB9,
BB765817C6000026,BC3D85BA6ED8,BC3D85BA6ED9,BC3D85BA6EDA,BC3D85BA6EDB,BC3D85BA6EDC,
BB765817C6000037,BC3D85BA6F0F,BC3D85BA6F10,BC3D85BA6F11,BC3D85BA6F12,BC3D85BA6F13,
BB765817C6000013,BC3D85BA6E97,BC3D85BA6E98,BC3D85BA6E99,BC3D85BA6E9A,BC3D85BA6E9B,
BB765817C6000048,BC3D85BA6F46,BC3D85BA6F47,BC3D85BA6F48,BC3D85BA6F49,BC3D85BA6F4A,
BB765817C6000043,BC3D85BA6F2D,BC3D85BA6F2E,BC3D85BA6F2F,BC3D85BA6F30,BC3D85BA6F31,
BB765817C6000059,BC3D85BA6F7D,BC3D85BA6F7E,BC3D85BA6F7F,BC3D85BA6F80,BC3D85BA6F81,
BB765817C6000011,BC3D85BA6E8D,BC3D85BA6E8E,BC3D85BA6E8F,BC3D85BA6E90,BC3D85BA6E91,
BB765817C6000012,BC3D85BA6E92,BC3D85BA6E93,BC3D85BA6E94,BC3D85BA6E95,BC3D85BA6E96,
BB765817C6000044,BC3D85BA6F32,BC3D85BA6F33,BC3D85BA6F34,BC3D85BA6F35,BC3D85BA6F36,
BB765817C6000031,BC3D85BA6EF1,BC3D85BA6EF2,BC3D85BA6EF3,BC3D85BA6EF4,BC3D85BA6EF5,
BB765817C6000021,BC3D85BA6EBF,BC3D85BA6EC0,BC3D85BA6EC1,BC3D85BA6EC2,BC3D85BA6EC3,
BB765817C6000021,BC3D85BA6EBF,BC3D85BA6EC0,BC3D85BA6EC1,BC3D85BA6EC2,BC3D85BA6EC3,
BB765817C6000036,BC3D85BA6F0A,BC3D85BA6F0B,BC3D85BA6F0C,BC3D85BA6F0D,BC3D85BA6F0E,
BB765817C6000030,BC3D85BA6EEC,BC3D85BA6EED,BC3D85BA6EEE,BC3D85BA6EEF,BC3D85BA6EF0,
BB765817C6000032,BC3D85BA6EF6,BC3D85BA6EF7,BC3D85BA6EF8,BC3D85BA6EF9,BC3D85BA6EFA,
BB765817C6000027,BC3D85BA6EDD,BC3D85BA6EDE,BC3D85BA6EDF,BC3D85BA6EE0,BC3D85BA6EE1,
BB765817C6000052,BC3D85BA6F5A,BC3D85BA6F5B,BC3D85BA6F5C,BC3D85BA6F5D,BC3D85BA6F5E,
BB765817C6000053,BC3D85BA6F5F,BC3D85BA6F60,BC3D85BA6F61,BC3D85BA6F62,BC3D85BA6F63,
BB765817C6000037,BC3D85BA6F0F,BC3D85BA6F10,BC3D85BA6F11,BC3D85BA6F12,BC3D85BA6F13,
BB765617C6000032,BC3D85BA6DC0,BC3D85BA6DC1,BC3D85BA6DC2,BC3D85BA6DC3,BC3D85BA6DC4,
BB765617C6000032,BC3D85BA6DC0,BC3D85BA6DC1,BC3D85BA6DC2,BC3D85BA6DC3,BC3D85BA6DC4,
BB765817C6000013,BC3D85BA6E97,BC3D85BA6E98,BC3D85BA6E99,BC3D85BA6E9A,BC3D85BA6E9B,
BB765617C6000030,BC3D85BA6DB6,BC3D85BA6DB7,BC3D85BA6DB8,BC3D85BA6DB9,BC3D85BA6DBA,
BB765617C6000014,BC3D85BA6D66,BC3D85BA6D67,BC3D85BA6D68,BC3D85BA6D69,BC3D85BA6D6A,
BB765617C6000014,BC3D85BA6D66,BC3D85BA6D67,BC3D85BA6D68,BC3D85BA6D69,BC3D85BA6D6A,
BB765617C6000014,BC3D85BA6D66,BC3D85BA6D67,BC3D85BA6D68,BC3D85BA6D69,BC3D85BA6D6A,
