SN,TIME,TotalTime,ECODE,RESULT,ToolVersion,WorkId,1,2,2.4G_A,2.4G_B,5G_A,5G_B,7,flag
EHUBB17C11000070,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-43,-36,-33,OK,invalid
EHUBB17C11000072,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-43,-36,-33,OK,invalid
EHUBB17C11000066,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-44,-36,-33,OK,invalid
EHUBB17C11000067,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-45,-36,-33,OK,invalid
EHUBB17C11000106,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-41,-36,-34,OK,invalid
EHUBB17C11000098,2.02E+13,46,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-42,-36,-33,OK,invalid
EHUBB17C11000107,2.02E+13,33,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-44,-36,-34,OK,invalid
EHUBB17C11000095,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-43,-36,-34,OK,invalid
EHUBB17C11000063,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-42,-36,-33,OK,invalid
EHUBB17C11000061,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-43,-35,-34,OK,invalid
EHUBB17C11000065,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-42,-36,-34,OK,invalid
EHUBB17C11000109,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-48,-45,-37,-34,OK,invalid
EHUBB17C11000103,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-48,-45,-37,-35,OK,invalid
EHUBB17C11000068,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-45,-36,-34,OK,invalid
EHUBB17C11000059,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-44,-35,-34,OK,invalid
EHUBB17C11000057,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-42,-36,-33,OK,invalid
EHUBB17C11000060,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-42,-35,-33,OK,invalid
EHUBB17C11000013,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-43,-36,-34,OK,invalid
EHUBB17C11000004,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-43,-37,-33,OK,invalid
EHUBB17C11000015,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-45,-36,-33,OK,invalid
SNLBB17C07000031,2.02E+13,33,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-44,-38,-35,OK,invalid
SNLBB17C07000026,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-43,-38,-34,OK,invalid
EHUBB17C11000002,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-49,-42,-37,-34,OK,invalid
EHUBB17C11000064,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-44,-36,-33,OK,invalid
EHUBB17C11000101,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-44,-36,-34,OK,invalid
EHUBB17C11000062,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-43,-37,-34,OK,invalid
EHUBB17C11000081,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-44,-38,-34,OK,invalid
EHUBB17C11000080,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-44,-35,-33,OK,invalid
EHUBB17C11000089,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-43,-36,-34,OK,invalid
TEST,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-43,-36,-33,OK,invalid
EHUBB17C11000094,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-44,-36,-39,OK,
EHUBB17C11000084,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-44,-36,-33,OK,
EHUBB17C11000092,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-49,-42,-36,-34,OK,
EHUBB17C11000069,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-43,-43,-36,-33,OK,
5JEBB17C07000097,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-48,-45,-36,-33,OK,
EHUBB17C11000073,2.02E+13,43,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-46,-44,-35,-34,OK,
EHUBB17C11000108,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-43,-35,-33,OK,
EHUBB17C11000010,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-48,-44,-36,-34,OK,
5JEBB17C07000044,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-45,-45,-38,-33,OK,
EHUBB17C11000076,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-43,-36,-33,OK,
EHUBB17C11000058,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-44,-44,-36,-33,OK,
EHUBB17C11000087,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-43,-44,-36,-34,OK,
EHUBB17C11000005,2.02E+13,34,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-42,-36,-33,OK,
EHUBB17C11000090,2.02E+13,43,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-44,-37,-34,OK,
5JEBB17C07000008,2.02E+13,36,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-44,-39,-34,OK,
EHUBB17C11000019,2.02E+13,35,E0000,PASS,N8508_RSSI测试工具_V1.0,RSSI000000005EFA,OK,MES start,-47,-44,-37,-33,OK,
